path task user scene config cam_id cam_type start_timestamp end_timestamp start_frame_idx end_frame_idx start_frame_timestamp
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0001_cfg_0001 4 26 1 1 cam_043322070878 in_hand 1718346093064 1718346117658 1 122 1718346093114
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0001_cfg_0001 4 26 1 1 cam_750612070851 fixed 1718346093064 1718346117658 1 118 1718346093100
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0002_cfg_0001 4 26 2 1 cam_043322070878 in_hand 1718346300211 1718346323878 1 122 1718346300261
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0002_cfg_0001 4 26 2 1 cam_750612070851 fixed 1718346300211 1718346323878 1 119 1718346300229
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0003_cfg_0001 4 26 3 1 cam_043322070878 in_hand 1718346357115 1718346380450 1 113 1718346357163
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0003_cfg_0001 4 26 3 1 cam_750612070851 fixed 1718346357115 1718346380450 1 112 1718346357165
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0004_cfg_0001 4 26 4 1 cam_043322070878 in_hand 1718346423727 1718346446555 1 118 1718346423759
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0004_cfg_0001 4 26 4 1 cam_750612070851 fixed 1718346423727 1718346446555 1 121 1718346423777
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0005_cfg_0001 4 26 5 1 cam_043322070878 in_hand 1718346477554 1718346497172 1 115 1718346477604
PATH_TO_DATASET_ROOT/task_0004_user_0026_scene_0005_cfg_0001 4 26 5 1 cam_750612070851 fixed 1718346477554 1718346497172 1 115 1718346477602
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0001_cfg_0001 207 27 1 1 cam_043322070878 in_hand 1725432885433 1725432935877 1 265 1725432885483
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0001_cfg_0001 207 27 1 1 cam_750612070851 fixed 1725432885433 1725432935877 1 260 1725432885449
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0002_cfg_0001 207 27 2 1 cam_043322070878 in_hand 1725433039321 1725433087773 1 257 1725433039371
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0002_cfg_0001 207 27 2 1 cam_750612070851 fixed 1725433039321 1725433087773 1 257 1725433039339
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0003_cfg_0001 207 27 3 1 cam_043322070878 in_hand 1725433223732 1725433265656 1 238 1725433223776
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0003_cfg_0001 207 27 3 1 cam_750612070851 fixed 1725433223732 1725433265656 1 244 1725433223782
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0004_cfg_0001 207 27 4 1 cam_043322070878 in_hand 1725433337435 1725433385222 1 264 1725433337478
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0004_cfg_0001 207 27 4 1 cam_750612070851 fixed 1725433337435 1725433385222 1 265 1725433337485
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0005_cfg_0001 207 27 5 1 cam_043322070878 in_hand 1725433499893 1725433544376 1 250 1725433499943
PATH_TO_DATASET_ROOT/task_0207_user_0027_scene_0005_cfg_0001 207 27 5 1 cam_750612070851 fixed 1725433499893 1725433544376 1 243 1725433499943
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0001_cfg_0001 515 26 1 1 cam_043322070878 in_hand 1725696130951 1725696161062 1 161 1725696130954
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0001_cfg_0001 515 26 1 1 cam_750612070851 fixed 1725696130951 1725696161062 1 160 1725696130975
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0002_cfg_0001 515 26 2 1 cam_043322070878 in_hand 1725698218545 1725698252758 1 180 1725698218571
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0002_cfg_0001 515 26 2 1 cam_750612070851 fixed 1725698218545 1725698252758 1 179 1725698218595
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0003_cfg_0001 515 26 3 1 cam_043322070878 in_hand 1725696324215 1725696360887 1 193 1725696324242
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0003_cfg_0001 515 26 3 1 cam_750612070851 fixed 1725696324215 1725696360887 1 195 1725696324265
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0004_cfg_0001 515 26 4 1 cam_043322070878 in_hand 1725696409191 1725696441704 1 186 1725696409230
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0004_cfg_0001 515 26 4 1 cam_750612070851 fixed 1725696409191 1725696441704 1 178 1725696409241
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0005_cfg_0001 515 26 5 1 cam_043322070878 in_hand 1725696482342 1725696512262 1 168 1725696482382
PATH_TO_DATASET_ROOT/task_0515_user_0026_scene_0005_cfg_0001 515 26 5 1 cam_750612070851 fixed 1725696482342 1725696512262 1 171 1725696482372
